Nama Negara,Kode Negara,Tahun,Luas_Lahan_Pertanian_%,Kalori_per_Kapita,Produksi_Jagung_(ton),Produksi_Beras_(ton),Produksi_Minyak_Sawit_(ton),Produksi_Kopi_(ton),Produksi_Kakao_(ton),Produksi_Teh_(ton),Produksi_Ubi_Jalar_(ton)
Filipina,PHL,2015,42.0129456350404,2510.828,7518755.5,1750729.0,490986.8,4548.6,640758.8,3592.4,1616880.0
Indonesia,IDN,2015,27.6112077694021,2764.3054,19612436.0,272804450.0,9297.4,7938.0,499848.88,330.0,689606.0
Kamboja,KHM,2015,31.9960571040109,2642.222,400000.0,181170.0,8000.0,10000.0,7.0,500.0,105619560.0
Malaysia,MYS,2015,26.0842185359915,2876.509,62460.0,2458000.0,404354.0,2658582.0,815213.2,377.2,686761.0
Myanmar,MMR,2015,19.5213448582103,2775.7502,1748500.0,82800.0,8055.6,210776.88,1056760.0,427221.6,1215062.0
Thailand,THA,2015,44.7180410655914,2775.5615,4729527.0,20446042.77,214713.98,1021361.1,1180.4,83290.4,10796853.12
Timor Leste,TLS,2015,22.9051782111634,2299.9414,142361.0,2575901.0,2770.0,93600.0,31.65,55651.4,1500.0
Vietnam,VNM,2015,38.7634300520449,2822.843,5287261.0,2550979.4,4143.0,147.0,1322426.6,11617.6,900.0
Filipina,PHL,2016,42.1102055874166,2592.2937,7218817.0,1560870.0,638357.4,897.6,813585.0,526698.8,1241850.0
Indonesia,IDN,2016,27.8730589677122,2857.9875,23578412.0,273456130.0,9297.4,8000.0,495428.1,16485.2,696583.0
Kamboja,KHM,2016,32.2909811919329,2651.5796,663000.0,95440.0,10000.0,10987.0,3.4,500.0,104637510.0
Malaysia,MYS,2016,26.0873535230558,2864.132,64867.0,2996000.0,100583.4,2598195.0,815213.2,331.2,672395.0
Myanmar,MMR,2016,19.5471674990043,2794.168,1830631.0,110000.0,13156.4,342339.28,670630.8,440784.2,1232280.0
Thailand,THA,2016,44.7102115915363,2763.1172,4390185.0,38658102.85,134602.0,2226346.5,1577.6,69967.0,6480.0
Timor Leste,TLS,2016,22.9388029589778,2286.1816,96565.16,2635004.2,2485.0,113926.0,31.62,67749.2,1500.0
Vietnam,VNM,2016,38.8407942894887,2847.2808,5244140.5,2471051.8,4143.0,150.0,1351043.4,11617.6,1000.0
Filipina,PHL,2017,42.224234497099,2636.4248,7914908.5,20184.0,638357.4,897.6,813585.0,526698.8,1450249.0
Indonesia,IDN,2017,27.7598939877572,2930.7551,28924016.0,275074560.0,9297.4,8100.0,516333.97,31449.8,707551.2
Kamboja,KHM,2017,32.7703597326082,2675.357,750000.0,99740.0,13000.0,9723.0,12.0,500.0,113337880.0
Malaysia,MYS,2017,26.0873535230558,2893.5483,72560.52,3187000.0,4623.4,2122420.0,815213.2,371785.0,706394.0
Myanmar,MMR,2017,19.997855227882,2808.3088,1909294.6,137000.0,13156.4,1047264.8,1142687.6,440784.2,1265245.0
Thailand,THA,2017,44.7199984341052,2751.8616,4820962.0,38973514.3,214713.98,287959.6,1577.6,83290.4,74624.116
Timor Leste,TLS,2017,22.9724277067922,2309.4255,75000.0,2709424.2,2584.0,104679.0,31.48,69020.4,1800.0
Vietnam,VNM,2017,38.8279627189274,2862.3687,5109765.5,2505111.2,146959.0,84.0,1447641.4,11617.6,1000.0
Filipina,PHL,2018,42.3013717007077,2728.61,7771918.5,22700.0,511287.0,4477.6,655739.0,473753.2,1366583.0
Indonesia,IDN,2018,28.411834447481,2886.825,30253938.0,288139140.0,19731.4,7263.3,571531.3,67082.8,729834.56
Kamboja,KHM,2018,33.1881078631317,2674.9004,1232000.0,131180.0,16000.0,11000.0,16.0,400.0,107651590.0
Malaysia,MYS,2018,26.0873535230558,2893.876,68906.65,3319000.0,6840.8,2809096.0,815213.2,563198.0,731394.0
Myanmar,MMR,2018,20.0265052857362,2798.8557,1984136.5,152600.0,38585.6,7805.8,524941.8,505509.4,1187860.0
Thailand,THA,2018,44.7174470042475,2777.0461,5069143.0,38973514.3,214713.98,287959.6,2086.4,83290.4,74624.116
Timor Leste,TLS,2018,23.0060524546066,2249.4531,85176.16,2888461.2,3135.0,128700.0,31.37,67749.2,1800.0
Vietnam,VNM,2018,38.7344502263671,2885.8647,4874054.0,1993270.8,146959.0,106.0,1388746.0,11617.6,3770.124
Filipina,PHL,2019,42.3785089043163,2801.0732,7978844.5,20000.0,248424.6,252703.816,315691.164,3592.4,1308728.0
Indonesia,IDN,2019,28.7503293442037,2875.656,19650000.0,288166080.0,9297.4,6928.77,596829.0,71092.4,745543.5
Kamboja,KHM,2019,33.7162803081804,2716.7173,895000.0,115560.0,22000.0,12000.0,16.5,254.0,117376060.0
Malaysia,MYS,2019,26.0873535230558,2893.285,60497.87,3460000.0,6840.8,2484059.0,335990.608,562956.8,656717.0
Myanmar,MMR,2019,19.8857055308718,2795.324,1985765.0,115500.0,8022.0,12527.0,1499261.9,416203.0,1133860.0
Thailand,THA,2019,45.019475816712,2800.5254,4535058.0,38763801.83,156202.0,1602055.5,1834.0,164072.6,39134.116
Timor Leste,TLS,2019,22.9589778076664,2257.0437,75690.0,2674144.8,3128.0,116900.0,31.27,58183.0,1900.0
Vietnam,VNM,2019,39.5241027473527,2922.1062,4732148.5,1550417.0,342953.8,58.0,1471683.8,9460.2,6361.138
Filipina,PHL,2020,42.455646107925,2793.9622,8118546.0,21600.0,142400.0,7218.6,5134.6,97128.2,76507740.0
Indonesia,IDN,2020,28.9649906072855,2880.0054,24687000.0,295284060.0,32031.4,6431.97,686146.8,71092.4,765605.6
Kamboja,KHM,2020,34.3013919102651,2721.3882,900000.0,165010.0,25400.0,13000.0,9.1,92435.0,123964010.0
Malaysia,MYS,2020,26.0873535230558,2937.1648,68207.37,3856422.0,9262.6,1585004.0,339598.6,993490.4,651468.0
Myanmar,MMR,2020,19.8875388787596,2845.753,2072482.0,131600.0,11205.4,1047264.8,1142687.6,433595.0,1105680.0
Thailand,THA,2020,45.5516837283955,2850.377,4805844.0,59919635.57,214713.98,253149.4,1834.0,83290.4,58865.916
Timor Leste,TLS,2020,22.9589778076664,2222.2307,77606.0,2612330.0,3344.0,103900.0,0.0,370856.0,2000.0
Vietnam,VNM,2020,39.4347683207361,2966.226,4558107.0,1975222.4,6058307.2,24.0,1533940.6,7392.8,4391.014
Filipina,PHL,2021,42.5361371029949,2834.8713,8300322.0,20722.0,123800.0,7911.0,5054.6,94696.6,82632950.0
Indonesia,IDN,2021,28.9558492042508,2868.9587,20010000.0,318661730.0,63934.0,6036.67,624748.44,96886.4,780090.0
Kamboja,KHM,2021,34.6999756401541,2694.4207,920000.0,156649.0,35600.0,14134.0,80.34,95939.0,102615416.0
Malaysia,MYS,2021,26.0873535230558,2918.0093,74718.65,4054142.0,13125.2,2326948.0,5066.608,993490.4,647646.0
Myanmar,MMR,2021,19.8875388787596,2837.224,2300000.0,70200.0,39891.2,884025.288,1946160.6,440784.2,1091183.0
Thailand,THA,2021,45.9981600735971,2858.2908,5300000.0,54215017.57,214713.98,249828.6,2086.4,83290.4,58805.916
Timor Leste,TLS,2021,22.9589778076664,2192.0308,56058.0,2780381.5,3800.0,86400.0,0.0,6375.8,2100.0
Vietnam,VNM,2021,39.4347683207361,3004.1028,4446383.0,1990322.4,11327356.8,24.0,1533940.6,7392.8,2200.0
