Nama Negara,Kode Negara,Tahun,Luas_Lahan_Pertanian_%,Kalori_per_Kapita,Produksi_Jagung_(ton),Produksi_Beras_(ton),Produksi_Minyak_Sawit_(ton),Produksi_Kopi_(ton),Produksi_Kakao_(ton),Produksi_Teh_(ton),Produksi_Ubi_Jalar_(ton)
Filipina,PHL,2009,3.7276403664088487,7.834911962005192,15.766270925669438,14.364909185164887,13.395241713260297,6.934591932935697,13.611518196316624,13.614764059629158,14.01687383172052
Indonesia,IDN,2009,3.316826818602563,7.840959684828751,16.6850978633983,19.148798566007763,10.611547975828369,8.853808274977197,13.070897647097928,13.33432399211893,13.270129548129818
Kamboja,KHM,2009,3.4400236402744757,7.781353267576242,13.736496570976124,10.914251750631042,7.755338812846501,8.987321812850125,1.791759469228055,5.303304908059076,18.45797522811718
Malaysia,MYS,2009,3.1344217374745247,7.93958877898624,10.502241632645898,15.500155103089238,9.74368258397129,15.021998596435076,8.782783017393202,13.808054027005698,13.512404816568234
Myanmar,MMR,2009,2.9978958581489357,7.843189126604885,14.01902348318925,10.74937727911096,8.627302414096267,12.210515620881525,13.825177680400893,12.275486761614493,13.882877575132767
Thailand,THA,2009,3.8175572301171536,7.886453137184853,15.345065083365965,15.323622338990583,12.277066753207505,10.951595288309898,5.863665265926106,11.330100581528665,16.92148027062888
Timor Leste,TLS,2009,3.1678868766165653,7.62610801372615,11.81092413782396,14.58383895597269,7.7039102096163115,11.226349447280967,3.5157158351047473,10.020461371976479,7.170888478512505
Vietnam,VNM,2009,3.523615906587233,7.898072713993491,15.290662736186906,14.623713146472967,10.208734456167381,5.074673690192144,15.013937532565304,8.899485198557949,6.2166061010848646
Filipina,PHL,2010,3.7276403664088487,7.788268355570705,15.668176491640338,14.27403163936168,13.567250973179723,7.006514051005401,13.621961730576514,13.637992884026096,13.998832447591798
Indonesia,IDN,2010,3.3166651351747802,7.853732882566495,16.723920697157656,19.264325085503046,9.137597621329498,9.018089684104343,13.100315703876726,13.33432399211893,13.29397377398785
Kamboja,KHM,2010,3.4495470112864384,7.832815248453736,13.558383555068954,10.444386409308262,8.183676582620658,9.06323150693797,1.6094379124341003,5.303304908059076,18.440575043517104
Malaysia,MYS,2010,3.1566020734780134,7.9496219627106255,10.77065106344359,15.43503275267569,9.74368258397129,14.634858137459842,8.709630081951286,13.808980684670816,13.452340279222437
Myanmar,MMR,2010,3.0044244484464415,7.897097791149996,14.118869848135107,10.96648993456911,8.990067695753655,12.928644973769222,13.828866666724553,12.938930803659543,13.92501497578743
Thailand,THA,2010,3.8215506415806253,7.917130989463039,15.396702687769176,15.319269539607385,12.277066753207505,12.392906465070627,5.768320995793772,11.330100581528665,16.196345971727276
Timor Leste,TLS,2010,3.16675395667779,7.723200266043479,11.910975012312797,14.812959879299623,7.919719760924575,11.422289344710784,3.511843901749219,10.842478669931058,7.170888478512505
Vietnam,VNM,2010,3.5651585263102454,7.912240570941993,15.343044247847283,14.647201983284738,8.152889220313014,4.91734973004026,14.904492826474268,9.051297746068496,6.2166061010848646
Filipina,PHL,2011,3.7404629351218546,7.791495670021868,15.75730109018151,14.277845482716666,13.444508903635231,7.008866780350549,13.548338836169615,13.892268430314875,13.932609804334485
Indonesia,IDN,2011,3.3356421929692277,7.875003082727386,16.68586388861446,19.332035558202946,9.137597621329498,9.065430200180375,13.013881060658859,12.61986234124457,13.327562078685048
Kamboja,KHM,2011,3.4588211532956152,7.867765435768134,13.482832514280924,11.243489253126375,8.79497643168877,9.052429631974332,0.6931471805599453,5.303304908059076,18.558572164078008
Malaysia,MYS,2011,3.174744703737916,7.960969110135434,10.999479745081548,14.98397892322836,8.439101911801167,14.76726147953987,12.715130946500844,13.24095994871749,13.526231210547751
Myanmar,MMR,2011,3.0068059112154186,7.893233210127043,14.194974547761737,11.003781759319981,12.169413847867123,2.1972245773362196,10.349044788876938,12.602855505095503,13.928674051056365
Thailand,THA,2011,3.821722044025844,7.91272380859528,15.419524386616622,17.82118721117761,12.277066753207505,12.392906465070627,5.768320995793772,11.330100581528665,16.1939911616555
Timor Leste,TLS,2011,3.1684528556338547,7.736654197873702,10.815448926249054,14.829278937168818,7.97728198675515,11.510101481279127,3.4339872044851463,10.364008866392371,7.0909098220799835
Vietnam,VNM,2011,3.5659568545564797,7.922510918361161,15.391540176361485,14.669078548507796,8.152889220313014,4.844187086458591,14.749810702442625,9.051297746068496,6.2166061010848646
Filipina,PHL,2012,3.7539091326600396,7.804074868562258,15.817945439967472,14.37743795777935,13.395241713260297,6.934591932935697,13.611518196316624,13.614764059629158,14.109605275387592
Indonesia,IDN,2012,3.335483523473978,7.8912871142263565,16.780114482682635,19.343702177747286,9.137597621329498,8.936035096566041,13.069899398032438,12.61986234124457,13.359467741481069
Kamboja,KHM,2012,3.470440502570317,7.8644874401707945,13.765174699825169,11.48905276615867,8.97727273946428,8.953510763007166,3.295836866004329,5.707110264748875,18.4546971786954
Malaysia,MYS,2012,3.212034641298191,7.968715647297792,11.333822722231607,15.404992263309422,9.74368258397129,14.586806962380491,8.709630081951286,13.808980684670816,13.571715218919191
Myanmar,MMR,2012,3.006328162166457,7.897257735786145,14.222042430210527,10.563620718477313,8.987896575776247,12.261201544074265,13.836026754139027,12.938353997037193,13.936698457155059
Thailand,THA,2012,3.8218934170972974,7.9207088027410375,15.414399222230031,14.972301679001548,12.277066753207505,12.392906465070627,5.768320995793772,11.330100581528665,16.197187690274472
Timor Leste,TLS,2012,3.1698664033078723,7.732452515615051,11.048347092369557,14.800583232414775,8.202756381655638,11.378673813021223,3.4732079176384274,10.631079637129123,7.170888478512505
Vietnam,VNM,2012,3.567646751251893,7.943377713375531,15.41963095745275,14.478715510784513,8.297394041352417,4.897839799950911,14.57173178158706,9.139960825213603,6.2166061010848646
Filipina,PHL,2013,3.7569685176629033,7.80185242509562,15.813917530446856,14.483235822556779,13.43361538369798,7.014994029651736,13.571090253363861,13.614764059629158,14.156871539460791
Indonesia,IDN,2013,3.344761563005027,7.905496957265273,16.73392178758891,19.344613127888916,9.137597621329498,9.13873695311649,13.108793927432973,12.61986234124457,13.387281301582533
Kamboja,KHM,2013,3.4797757186739133,7.8600755993213465,13.739709923296061,11.695338684229718,8.665785595466064,8.987321812850125,3.1780538303479458,5.860786223465865,18.475654994799548
Malaysia,MYS,2013,3.2398504758284794,7.9544221308394825,11.36789969291997,15.405592139497141,9.74368258397129,14.670530809500274,8.709630081951286,13.808980684670816,13.494100711839987
Myanmar,MMR,2013,3.0093042385108553,7.903099306145862,14.2858897416806,10.77270764101727,10.494319575624207,12.261201544074265,13.836026754139027,12.587570827673723,13.983162540773792
Thailand,THA,2013,3.822076128421536,7.909798148670292,15.399872889484994,15.319269539607385,12.277066753207505,12.392906465070627,5.768320995793772,11.330100581528665,16.196345971727276
Timor Leste,TLS,2013,3.1712779556849826,7.736128477976851,11.520794423348924,14.817197837025288,7.923348211930154,11.362858103705607,3.500137329517059,10.9268804824584,7.170888478512505
Vietnam,VNM,2013,3.574384861865136,7.9378804610997875,15.46241697625575,14.732141072105897,8.329416783939319,4.955827057601261,14.070789162948222,9.360362541219661,6.68586094706836
Filipina,PHL,2014,3.7592373927348213,7.809633284710669,15.865858389855301,14.398403043663624,13.639874682115646,6.895277757471025,13.780954516294665,13.637992884026096,14.173816970334347
Indonesia,IDN,2014,3.3502248044296157,7.932927823464529,16.76039296511778,19.35982959114551,9.137597621329498,9.230829038403499,13.076360401414732,11.918555892745676,13.419672956329867
Kamboja,KHM,2014,3.48684309451518,7.8651069528263315,13.217675375388819,11.559723169318769,8.732465848349879,9.105090961257085,2.2945529212967815,5.993961427306569,18.468519322174135
Malaysia,MYS,2014,3.2433850576796512,7.949528749792885,10.988490992796319,15.40831957348775,9.74368258397129,14.443641770093492,8.709630081951286,13.808980684670816,13.46060262337316
Myanmar,MMR,2014,3.0126972467469484,7.919266513912505,14.342249490718071,10.729875458480967,10.493421909495707,12.260885759079942,13.835150524973162,12.587570827673723,13.98985454506487
Thailand,THA,2014,3.8223217213317646,7.923569484079322,15.385099127698936,15.319269539607385,12.277066753207505,12.392906465070627,6.803283257385426,11.330100581528665,16.196345971727276
Timor Leste,TLS,2014,3.1726875183901764,7.7581153745091695,11.537364386847246,14.726596086240717,7.937731775260109,11.682676678340282,3.494080375808869,10.9268804824584,7.170888478512505
Vietnam,VNM,2014,3.5751262233422327,7.949634239918983,15.464652143830639,14.714033656137516,8.329416783939319,4.927253685157205,14.356467286195064,9.360362541219661,6.55250788703459
Filipina,PHL,2015,3.7615011316637186,7.82876605390624,15.832911323210155,14.375543401776946,13.10417455921745,8.42279459599259,13.370409938686025,8.186854108498471,14.296009542777547
Indonesia,IDN,2015,3.3537985211098995,7.924906359936619,16.791674463781174,19.42426579978288,9.137597621329498,8.979542601725113,13.122063092323277,5.802118375377063,13.443877149092167
Kamboja,KHM,2015,3.4963880726313343,7.879753906536573,12.899222326086994,12.107196615632475,8.987321812850125,9.210440366976517,2.0794415416798357,6.2166061010848646,18.475354148824653
Malaysia,MYS,2015,3.2989512164134536,7.964680268306177,11.042297640955464,14.71485897594286,12.910048483972432,14.793303832052304,13.611206179777215,5.935423156224357,13.43974307741243
Myanmar,MMR,2015,3.0214655570541264,7.929036530073876,14.374269407404192,11.324195417595107,8.994246910274455,12.258560156557092,13.870719127648577,12.96506046785055,14.010306485264376
Thailand,THA,2015,3.822492991674283,7.928968570625437,15.369335966905394,16.833299963057833,12.277066753207505,13.836647686574205,7.074455454873135,11.330100581528665,16.194765364477494
Timor Leste,TLS,2015,3.174095097024694,7.741073622522893,11.866128388415582,14.761710322004449,7.9269635448629785,11.446796346169297,3.48584485572244,10.9268804824584,7.313886831633462
Vietnam,VNM,2015,3.6829476469820346,7.945854002166829,15.480811089503277,14.751988313832966,8.329416783939319,4.997212273764115,14.094979696414528,9.360362541219661,6.803505257608338
Filipina,PHL,2016,3.763759757650864,7.860684045611195,15.792201785555394,14.26075455674899,13.366655160087273,6.8008379966360595,13.609206916095477,13.174386025748607,14.032113566484968
Indonesia,IDN,2016,3.3629089446850515,7.958222820154656,16.975842148009583,19.42665176842361,9.137597621329498,8.987321812850125,13.113179534724035,9.710278946305106,13.453943667945113
Kamboja,KHM,2016,3.505286525226865,7.8832878794629355,13.404531777462488,11.466263534503998,9.210440366976517,9.304559047215164,1.4816045409242156,6.2166061010848646,18.46601265907528
Malaysia,MYS,2016,3.299066959300309,7.960369701385927,11.080109714839265,14.912788957397563,11.51875245504074,14.77032791601522,13.611206179777215,5.8057371971791945,13.418602731658927
Myanmar,MMR,2016,3.022723096843851,7.9356474911173525,14.420171820387482,11.608244735642321,9.484739616971046,12.743560492149653,13.41597553211066,12.996312960939575,14.02437748148389
Thailand,THA,2016,3.8223217213317646,7.924476586304093,15.294882153174314,17.470266983723207,11.8100849842059,14.615872908247447,7.364293657274302,11.155793273652701,8.776630098427717
Timor Leste,TLS,2016,3.1755006971661577,7.735075596204844,11.477983648268525,14.784395713390188,7.818430272070656,11.64331317138725,3.4849255971928677,11.12358269076711,7.313886831633462
Vietnam,VNM,2016,3.6848913695028167,7.954470863177267,15.472622106720603,14.720154852609717,8.329416783939319,5.017279836814924,14.11638848094709,9.360362541219661,6.90875477931522
Filipina,PHL,2017,3.7664013216866588,7.87755826552951,15.88425881724578,9.912695033287042,13.366655160087273,6.8008379966360595,13.609206916095477,13.174386025748607,14.187246513328311
Indonesia,IDN,2017,3.3589818467458157,7.983356532915,17.180182846024007,19.432552749790595,9.137597621329498,8.999742789830492,13.154511000512832,10.356179699006974,13.469566686696579
Kamboja,KHM,2017,3.5195834867721345,7.892211820421802,13.527829818844937,11.510332105117628,9.472781556562168,9.182352335436015,2.5649493574615367,6.2166061010848646,18.545884012571914
Malaysia,MYS,2017,3.299066959300309,7.970584350199666,11.192190032750425,14.974590907174134,8.439101911801167,14.56806797621582,13.611206179777215,12.826073698907487,13.467929850104142
Myanmar,MMR,2017,3.0444203005019754,7.940693753422395,14.462244936189395,11.827743504053695,9.484739616971046,13.861693325828439,13.94889446471329,12.996312960939575,14.05077712764078
Thailand,THA,2017,3.8225358046769418,7.92039623144883,15.388484258602034,17.47839287853276,12.277066753207505,12.570578944203794,7.364293657274302,11.330100581528665,11.220232405132556
Timor Leste,TLS,2017,3.1769043243687025,7.745186985687461,11.225256725762893,14.81224706703776,7.85748078694253,11.558663356644082,3.4806245152934774,11.142171880421936,7.496097345175956
Vietnam,VNM,2017,3.6845692464735618,7.959754077805506,15.446664266419608,14.733844081917203,11.897915719889006,4.442651256490317,14.185446860101862,9.360362541219661,6.90875477931522
Filipina,PHL,2018,3.768184313506853,7.9119140208310945,15.86602773173154,10.030164255362632,13.14468831120535,8.40706577657073,13.393519647898774,13.068443900774831,14.127824753372087
Indonesia,IDN,2018,3.3813971255775184,7.968258902608865,17.225136948839936,19.478954049903457,9.890017233788138,8.890727218987797,13.256076278555183,11.113697863110243,13.500574527475695
Kamboja,KHM,2018,3.5318778602985517,7.892041200824506,14.024150234763585,11.78433332793195,9.680406499268875,9.305741456739435,2.833213344056216,5.993961427306569,18.494410561043043
Malaysia,MYS,2018,3.299066959300309,7.970697556619983,11.140522481317278,15.015174391997638,8.830806133891368,14.848373637352042,13.611206179777215,13.241388308256212,13.502708948469511
Myanmar,MMR,2018,3.04578379833717,7.937323159120999,14.500694868860998,11.93558195089097,10.560660344923255,8.962750427757047,13.171044583257066,13.133323890920444,13.987664768692296
Thailand,THA,2018,3.8224799975653996,7.929503117849025,15.438682525021001,17.47839287853276,12.277066753207505,12.570578944203794,7.643674551385951,11.330100581528665,11.220232405132556
Timor Leste,TLS,2018,3.1783059841631083,7.718886852702461,11.352488601761479,14.876234807740818,8.0507033814703,11.765247163561801,3.477232067938153,11.12358269076711,7.496097345175956
Vietnam,VNM,2018,3.682218575292073,7.967926313306672,15.399436797469644,14.505287967217013,11.897915719889006,4.672828834461906,14.143912459717622,9.360362541219661,8.235128379242267
Filipina,PHL,2019,3.7699641319245254,7.938114850752724,15.892304284774209,9.90353755128617,12.422898683312507,12.439977351366426,12.66252285320541,8.186854108498471,14.084566995192876
Indonesia,IDN,2019,3.392840202323764,7.964383787407124,16.793587947170128,19.47904754202878,9.137597621329498,8.843581902599992,13.299387594704804,11.17174978447842,13.521870102887691
Kamboja,KHM,2019,3.547208750071915,7.90754757899995,13.704580114574805,11.657553808056056,9.99884318585288,9.392745258631441,2.8622008809294686,5.541263545158426,18.580893534855466
Malaysia,MYS,2019,3.299066959300309,7.970493381955623,11.010379966158553,15.056779436051206,8.830806133891368,14.725404876333162,12.724841462442955,13.24095994871749,13.395009981579577
Myanmar,MMR,2019,3.0390649790817723,7.936060976468479,14.501515291871957,11.657034466915164,8.990067695753655,9.435721418230584,14.22048414529589,12.938930803659543,13.941139180801002
Thailand,THA,2019,3.8290646942058,7.937919333535717,15.327348651369569,17.472997452403252,11.958911722349253,14.286798674403007,7.51479976048867,12.008070386622295,10.574775450333178
